"","sx","rk","yr","dg","yd","sl"
"1","male","full",25,"doctorate",35,36350
"2","male","full",13,"doctorate",22,35350
"3","male","full",10,"doctorate",23,28200
"4","female","full",7,"doctorate",27,26775
"5","male","full",19,"masters",30,33696
"6","male","full",16,"doctorate",21,28516
"7","female","full",0,"masters",32,24900
"8","male","full",16,"doctorate",18,31909
"9","male","full",13,"masters",30,31850
"10","male","full",13,"masters",31,32850
"11","male","full",12,"doctorate",22,27025
"12","male","associate",15,"doctorate",19,24750
"13","male","full",9,"doctorate",17,28200
"14","male","associate",9,"masters",27,23712
"15","male","full",9,"doctorate",24,25748
"16","male","full",7,"doctorate",15,29342
"17","male","full",13,"doctorate",20,31114
"18","male","associate",11,"masters",14,24742
"19","male","associate",10,"masters",15,22906
"20","male","full",6,"masters",21,24450
"21","male","assistant",16,"masters",23,19175
"22","male","associate",8,"masters",31,20525
"23","male","full",7,"doctorate",13,27959
"24","female","full",8,"doctorate",24,38045
"25","male","associate",9,"doctorate",12,24832
"26","male","full",5,"doctorate",18,25400
"27","male","associate",11,"doctorate",14,24800
"28","female","full",5,"doctorate",16,25500
"29","male","associate",3,"masters",7,26182
"30","male","associate",3,"masters",17,23725
"31","female","assistant",10,"masters",15,21600
"32","male","associate",11,"masters",31,23300
"33","male","assistant",9,"masters",14,23713
"34","female","associate",4,"masters",33,20690
"35","female","associate",6,"masters",29,22450
"36","male","associate",1,"doctorate",9,20850
"37","female","assistant",8,"doctorate",14,18304
"38","male","assistant",4,"doctorate",4,17095
"39","male","assistant",4,"doctorate",5,16700
"40","male","assistant",4,"doctorate",4,17600
"41","male","assistant",3,"doctorate",4,18075
"42","male","assistant",3,"masters",11,18000
"43","male","associate",0,"doctorate",7,20999
"44","female","assistant",3,"doctorate",3,17250
"45","male","assistant",2,"doctorate",3,16500
"46","male","assistant",2,"doctorate",1,16094
"47","female","assistant",2,"doctorate",6,16150
"48","female","assistant",2,"doctorate",2,15350
"49","male","assistant",1,"doctorate",1,16244
"50","female","assistant",1,"doctorate",1,16686
"51","female","assistant",1,"doctorate",1,15000
"52","female","assistant",0,"doctorate",2,20300
